NR_CANDIDATO;NM_URNA_CANDIDATO;SG_PARTIDO
200;ANDRÉ MOURA;PSC
177;PROFESSOR WILSON PICLER;PSL
501;CHICO SANT ANNA;PSOL
456;BRUNO ARAUJO;PSDB
511;WALTER CRISTIE SILVA AGUIAR;PATRIOTA
210;PROFESSORA MAGDA BORGES;PCB
656;VANESSA;PC do B
212;IÊGO BRUNNO;PCB
500;PROFESSOR NELSON JÚNIOR;PSOL
277;MARCOS MAURICIO;DC
180;JOÃO SARAIVA;REDE
282;LEVI COSTA;PRTB
154;GARIBALDI FILHO;MDB
283;RODRIGO REIS;PRTB
170;JUIZA SELMA ARRUDA;PSL
700;SILVIO COSTA;AVANTE
131;JORGE VIANA;PT
188;NAPOLEÃO;REDE
151;EUNÍCIO;MDB
500;PROFESSOR PEDRO CABRAL;PSOL
700;EDSON ANDRE P;AVANTE
100;PASTOR HELENO;PRB
404;VALADARES;PSB
150;JORGE VIANNA;MDB
169;JOÃO MORAIS ;PSTU
222;MAGNO MALTA;PR
211;PROFESSOR FAUSTO RIPARDO;PCB
131;LINDBERGH;PT
290;ALEXANDRE BARROSO;PCO
500;PROF. CICERO ALBUQUERQUE;PSOL
134;LUIZ COUTO;PT
543;XAROPINHO DO POVO;PPL
510;ROSELAINE BARROSO FERREIRA;PATRIOTA
300;DIOGO DA LUZ;NOVO
210;OSVALDO MACIEL;PCB
255;MARCOS ROGÉRIO;DEM
510;SANTANA PIRES;PATRIOTA
500;SAULO PINTO;PSOL
456;JUTAHY MAGALHAES JUNIOR;PSDB
505;ANNA KARINA;PSOL
190;BETO FIGUEIRÓ;PODE
133;NEY AMORIM;PT
450;TRIPOLI;PSDB
200;IRMÃO LÁZARO;PSC
400;SIDNEY ROSA;PSB
654;MARIO  FONSECA;PC do B
368;CESAR NICOLATTI;PTC
123;CORONEL OSMAR NASCIMENTO;PDT
181;FLAVIO ARNS;REDE
510;ADELSON ALVES;PATRIOTA
177;MAJOR OLIMPIO;PSL
555;FÁVARO;PSD
280;CELSINHO COTRIM;PRTB
333;CHICO PRETO;PMN
368;DELCIDIO AMARAL;PTC
161;VANESSA PORTUGAL BARBOSA;PSTU
456;GERALDO MELO;PSDB
500;PASTOR SIMÕES;PSOL
210;PROFESSOR TULIO LOPES;PCB
130;JAQUES WAGNER;PT
161;ANA CELIA;PSTU
500;PROFESSORA SILVIA FERRARO;PSOL
161;HELIO CABRAL;PSTU
199;JÁCOME;PODE
777;DINIS PINHEIRO;SOLIDARIEDADE
280;TED WILSON;PRTB
170;COMANDANTE RANGEL;PSL
111;ESPERIDIÃO AMIN;PP
512;CHRISTIAN SANTOS;PATRIOTA
181;MIRIAM PROCHNOW;REDE
508;RONDINELY FONSECA;PSOL
180;ALUÍZIO VIDAL;REDE
111;BENEDITO DE LIRA;PP
222;VICENTINHO;PR
290;PROFESSOR ALESSANDRO AQUINO;PCO
222;JORGINHO MELLO;PR
500;JACQUE PARMIGIANI;PSOL
444;FADI FARAJ;PRP
133;MARCELO NEVES;PT
161;CYRO CARGIA;PSTU
133;DILMA ROUSSEFF;PT
290;ANA ALVES;PCO
177;ELIZEU AGUIAR;PSL
777;EDUARDO GOMES;SOLIDARIEDADE
211;MAURO RIBEIRO;PCB
288;JURANDIR MARINHO;PRTB
432;SARNEY FILHO;PV
131;ZÉ GERALDO;PT
351;DR. JOSENIR DETTONI;PMB
111;CIRO NOGUEIRA;PP
100;GILMAR DA CRUZ;PRB
131;CÉLIA TAVARES;PT
278;LAFAYETTE ANDRADE;DC
500;LIU KATRINE;PSOL
161;DR. DAVI;PSTU
251;WILDER MORAIS;DEM
160;RICARDO LAUTERT;PSTU
161;DRA. ELIANA FERREIRA;PSTU
222;ALFREDO NASCIMENTO;PR
290;ADROALDO DOS SANTOS;PCO
250;RODRIGO PACHECO;DEM
300;RODRIGO PAIVA;NOVO
123;HISSA ABRAHÃO;PDT
777;WLAD;SOLIDARIEDADE
555;AROLDE DE OLIVEIRA;PSD
131;PROFESSORA GELI;PT
107;MECIAS DE JESUS;PRB
361;IBANÊS;PTC
123;WEVERTON;PDT
290;NIVALDO ORLANDI;PCO
455;PLINIO VALERIO;PSDB
456;DRA. MAYRA;PSDB
333;JUIZ EVERARDO RIBEIRO;PMN
277;DR JOANILSON;DC
456;CÁSSIO CUNHA LIMA;PSDB
234;MARIO BERND;PPS
130;HUMBERTO COSTA;PT
290;DANILO MATOSO;PCO
177;LUCAS ESMERALDINO;PSL
130;IDELI SALVATTI;PT
190;ANA VARELA;PODE
123;JOSE BONIFACIO;PDT
151;MARCELO CASTRO;MDB
255;CHICO RODRIGUES;DEM
123;CID GOMES;PDT
166;GERVASIO SANTOS;PSTU
361;DR. MARCOS;PTC
178;DR MÁRCIO PINHEIRO;PSL
500;MARIVALDO PEREIRA;PSOL
131;ROGERIO CARVALHO SANTOS;PT
555;ANGELO CORONEL;PSD
252;MENDONCA FILHO;DEM
151;FÁTIMA PELAES;MDB
400;VENEZIANO;PSB
505;NIVALDO MANGUEIRA;PSOL
151;REQUIÃO;MDB
234;MARCOS DO VAL;PPS
130;MIGUEL CORREA;PT
500;PROFESSORA SONIA MEIRE;PSOL
350;BETINHO;PMB
190;BARDAWIL;PODE
188;ADRIANA ROCHA;REDE
177;DR RICARDO SANTOS;PSL
150;AGENOR;MDB
155;JACKSON BARRETO;MDB
333;WAGNER GOMES;PMN
400;MAURREN MAGGI;PSB
177;FLAVIO MORENO;PSL
356;BETINI;PMB
456;FLEXA RIBEIRO;PSDB
273;MACHADO;DC
160;ROBSON;PSTU
500;PROCURADOR MAURO;PSOL
170;CARMEN FLORES;PSL
111;MÁRIO COUTO;PP
131;ALEXANDRE MOTTA;PT
200;REINALDO MORAIS;PSC
456;PAULO BAUER;PSDB
500;FABIO NOGUEIRA;PSOL
161;BENEDITA DO AMARAL;PSTU
258;ROBERT RIOS;DEM
300;FELICIANO AZUAGA;NOVO
444;FLÁVIA BARBOSA;PRP
101;CÉSAR HALUM;PRB
180;KAKA MENEZES;REDE
222;MAURICIO QUINTELLA;PR
500;PROCURADOR MAURO;PSOL
167;PAULO CADILLAC;PSTU
188;FRANCISCO JOSÉ;REDE
500;PROFESSORA DUDA SALABERT;PSOL
331;ROBERTO SALUM;PMN
300;PAULO ROQUE ;NOVO
654;PROFESSORA MARIA LUCIA;PC do B
111;VANDERLAN;PP
132;JILMAR TATTO;PT
777;MAGNÓLIA;SOLIDARIEDADE
544;JOÃO PEDRO FERRAZ;PPL
163;PRETA LU;PSTU
161;MARLI SCHAULE;PSTU
540;CORONEL LACERDA;PPL
100;ADILTON SACHETTI;PRB
450;BALA ROCHA;PSDB
109;PEDRO CHAVES;PRB
212;JOAQUINA LINO;PCB
123;ANTONIO NETO;PDT
400;WILSON MARTINS;PSB
